meals_future_data_june_18_24_25.flight_number,meals_future_data_june_18_24_25.flight_boarding_pt,meals_future_data_june_18_24_25.flight_boarding_time,meals_future_data_june_18_24_25.destination,meals_future_data_june_18_24_25.menu_cycle,meals_future_data_june_18_24_25.itemcategory,meals_future_data_june_18_24_25.adults,meals_future_data_june_18_24_25.children,meals_future_data_june_18_24_25.elders,meals_future_data_june_18_24_25.middle aged,meals_future_data_june_18_24_25.teenagers,meals_future_data_june_18_24_25.unknown,meals_future_data_june_18_24_25.c,meals_future_data_june_18_24_25.f,meals_future_data_june_18_24_25.m,meals_future_data_june_18_24_25.unknown column,meals_future_data_june_18_24_25.africa,meals_future_data_june_18_24_25.americas,meals_future_data_june_18_24_25.asia,meals_future_data_june_18_24_25.europe,meals_future_data_june_18_24_25.oceania,meals_future_data_june_18_24_25.unknown country region,meals_future_data_june_18_24_25.unknown cuisine,meals_future_data_june_18_24_25.asian,meals_future_data_june_18_24_25.asian / japanese,meals_future_data_june_18_24_25.continental / european,meals_future_data_june_18_24_25.indian,meals_future_data_june_18_24_25.middle eastern,meals_future_data_june_18_24_25.middle eastern / gulf,meals_future_data_june_18_24_25.flight_boarding_time_conv,meals_future_data_june_18_24_25.year,meals_future_data_june_18_24_25.month,meals_future_data_june_18_24_25.quarter,meals_future_data_june_18_24_25.week,meals_future_data_june_18_24_25.day,meals_future_data_june_18_24_25.meal,meals_future_data_june_18_24_25.dishsubcategory,meals_future_data_june_18_24_25.pax_count
307,PEK,2.01806E+11,KDX,A,Dinner,22,2,4,57,,9,2,17,75,,8,4,66,6,1,9,0,0,0,0,0,1,0,40:00.0,2018,6,2,25,24,1,Poultry,94
307,PEK,2.01806E+11,KDX,A,Dinner,22,2,4,57,,9,2,17,75,,8,4,66,6,1,9,0,0,0,1,0,0,0,40:00.0,2018,6,2,25,24,1,Red Meat,94
307,PEK,2.01806E+11,KDX,A,Dinner,22,2,4,57,,9,2,17,75,,8,4,66,6,1,9,0,0,0,1,0,0,0,40:00.0,2018,6,2,25,24,1,Seafood,94
2,LHR,2.01807E+11,RDX,D,Lunch,12,4,14,33,3,8,3,35,36,1,,1,23,26,11,12,1,0,0,0,0,0,0,20:00.0,2018,7,3,26,1,1,Red Meat,72
2,LHR,2.01807E+11,RDX,D,Lunch,12,4,14,33,3,8,3,35,36,1,,1,23,26,11,12,0,0,0,0,1,0,0,20:00.0,2018,7,3,26,1,1,Poultry,72
2,LHR,2.01807E+11,RDX,D,Lunch,12,4,14,33,3,8,3,35,36,1,,1,23,26,11,12,1,0,0,0,0,0,0,20:00.0,2018,7,3,26,1,1,Poultry,72
2,LHR,2.01807E+11,RDX,D,Lunch,12,4,14,33,3,8,3,35,36,1,,1,23,26,11,12,0,0,0,0,0,0,1,20:00.0,2018,7,3,26,1,1,Seafood,72
3,DXB,2.01806E+11,BLH,C,Lunch,19,10,11,35,6,11,10,18,64,,,11,32,26,12,11,1,0,0,0,0,0,0,15:00.0,2018,6,2,26,27,1,Poultry,92
3,DXB,2.01806E+11,BLH,C,Lunch,19,10,11,35,6,11,10,18,64,,,11,32,26,12,11,1,0,0,0,0,0,0,15:00.0,2018,6,2,26,27,1,Seafood,92
3,DXB,2.01806E+11,BLH,C,Lunch,19,10,11,35,6,11,10,18,64,,,11,32,26,12,11,1,0,0,0,0,0,0,15:00.0,2018,6,2,26,27,1,Red Meat,92
81,DXB,2.01806E+11,BLY,C,Lunch,10,1,2,13,2,1,,8,21,,1,,10,17,,1,1,0,0,0,0,0,0,35:00.0,2018,6,2,26,27,1,Poultry,28
81,DXB,2.01806E+11,BLY,C,Lunch,10,1,2,13,2,1,,8,21,,1,,10,17,,1,1,0,0,0,0,0,0,35:00.0,2018,6,2,26,27,1,Seafood,28
81,DXB,2.01806E+11,BLY,C,Lunch,10,1,2,13,2,1,,8,21,,1,,10,17,,1,1,0,0,0,0,0,0,35:00.0,2018,6,2,26,27,1,Red Meat,28
32,LHR,2.01806E+11,RDX,C,Dinner,27,6,8,19,2,6,5,26,37,,6,4,31,14,4,9,1,0,0,0,0,0,0,50:00.0,2018,6,2,26,29,1,Red Meat,67
32,LHR,2.01806E+11,RDX,C,Dinner,27,6,8,19,2,6,5,26,37,,6,4,31,14,4,9,1,0,0,0,0,0,0,50:00.0,2018,6,2,26,29,1,Poultry,67
32,LHR,2.01806E+11,RDX,C,Dinner,27,6,8,19,2,6,5,26,37,,6,4,31,14,4,9,1,0,0,0,0,0,0,50:00.0,2018,6,2,26,29,1,Seafood,67
406,DXB,2.01806E+11,BME,C,Lunch,17,3,23,40,,,3,27,53,,2,,3,9,69,,0,0,0,1,0,0,0,15:00.0,2018,6,2,26,29,1,Poultry,83
406,DXB,2.01806E+11,BME,C,Lunch,17,3,23,40,,,3,27,53,,2,,3,9,69,,1,0,0,0,0,0,0,15:00.0,2018,6,2,26,29,1,Red Meat,83
406,DXB,2.01806E+11,BME,C,Lunch,17,3,23,40,,,3,27,53,,2,,3,9,69,,0,0,0,1,0,0,0,15:00.0,2018,6,2,26,29,1,Seafood,83
8,LHR,2.01806E+11,RDX,C,Lunch,21,3,23,33,1,3,1,35,48,,,2,19,37,23,3,1,0,0,0,0,0,0,05:00.0,2018,6,2,26,28,1,Seafood,82
